,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,clyde river,90,CA,1557522000,100,70.47,-68.59,30.2,11.41
1,sibolga,100,ID,1557526341,76,1.74,98.78,82.13,7.09
2,bichura,66,RU,1557526342,93,50.59,107.6,23.45,1.07
3,punta arenas,75,CL,1557525798,81,-53.16,-70.91,44.6,18.34
4,qaanaaq,99,GL,1557526342,69,77.48,-69.36,28.67,0.89
5,busselton,0,AU,1557526183,63,-33.64,115.35,42.01,9.62
6,yellowknife,75,CA,1557526208,64,62.45,-114.38,39.2,17.22
7,cherskiy,100,RU,1557526343,100,68.75,161.3,32.99,2.51
8,saint george,20,GR,1557521400,55,39.45,22.34,60.8,1.74
9,dedougou,99,BF,1557526344,43,12.47,-3.47,92.21,22.08
10,najran,5,SA,1557522000,21,17.54,44.22,82.4,4.7
11,nanortalik,80,GL,1557526344,86,60.14,-45.24,34.97,6.42
12,port elizabeth,100,US,1557526304,61,39.31,-74.98,80.6,11.41
13,hilo,20,US,1557526344,61,19.71,-155.08,80.6,10.29
14,yeppoon,12,AU,1557523800,41,-23.13,150.74,62.6,12.75
15,koslan,0,RU,1557526346,52,63.46,48.9,49.37,6.69
16,mehamn,0,NO,1557521400,65,71.03,27.85,50.0,5.82
17,mumford,100,GH,1557526347,81,5.26,-0.76,80.69,4.32
18,ilulissat,75,GL,1557521400,74,69.22,-51.1,35.6,5.82
19,atuona,14,PF,1557526347,77,-9.8,-139.03,82.67,14.92
20,hualmay,12,PE,1557526348,91,-11.1,-77.61,66.83,17.02
21,decatur,1,US,1557526345,54,35.51,-84.79,82.0,4.7
22,rikitea,0,PF,1557526348,86,-23.12,-134.97,77.27,13.87
23,aklavik,75,CA,1557522000,59,68.22,-135.01,42.8,4.7
24,albany,90,US,1557526046,82,42.65,-73.75,71.01,6.93
25,cordoba,64,CO,1557526071,74,5.59,-73.79,71.87,2.91
26,hobart,20,AU,1557526095,70,-42.88,147.33,48.0,13.87
27,vaini,0,IN,1557526350,86,15.34,74.49,76.55,3.69
28,charters towers,33,AU,1557526350,34,-20.07,146.27,58.01,20.56
29,tasiilaq,17,GL,1557521400,64,65.61,-37.64,33.8,5.82
30,castro,90,CL,1557522000,93,-42.48,-73.76,51.8,19.46
31,vogan,20,TG,1557522000,79,6.33,1.53,84.2,8.05
32,hermanus,0,ZA,1557525637,92,-34.42,19.24,57.0,1.99
33,castro verde,0,PT,1557526282,82,37.7,-8.08,66.99,6.93
34,savonlinna,90,FI,1557526204,100,61.87,28.88,48.99,1.12
35,khatanga,0,RU,1557526353,88,71.98,102.47,14.99,9.26
36,salalah,40,OM,1557521400,83,17.01,54.1,82.4,4.7
37,upernavik,100,GL,1557526353,92,72.79,-56.15,29.03,3.04
38,ushuaia,75,AR,1557522000,61,-54.81,-68.31,46.4,20.8
39,villa del rosario,40,CO,1557522000,62,7.83,-72.47,86.0,13.87
40,zaozerne,81,UA,1557526354,93,51.37,23.94,49.37,2.62
41,tournon-sur-rhone,0,FR,1557526342,76,45.07,4.83,60.01,2.24
42,amahai,22,ID,1557526170,93,-3.31,129.0,82.99,3.98
43,kalaleh,75,IR,1557522000,77,37.38,55.49,69.8,13.87
44,kodiak,90,US,1557526350,47,39.95,-94.76,62.01,4.7
45,la grande,1,US,1557526259,20,45.32,-118.09,79.0,5.84
46,lasalgaon,0,IN,1557526356,65,20.14,74.24,75.83,11.95
47,srandakan,50,ID,1557526356,78,-7.94,110.25,81.77,15.17
48,bambous virieux,75,MU,1557526147,53,-20.34,57.76,77.0,16.11
49,rosarito,75,CO,1557522000,93,4.91,-75.23,80.6,3.36
50,cape town,0,ZA,1557526353,87,-33.93,18.42,63.0,10.29
51,kapaa,1,US,1557526093,61,22.08,-159.32,81.0,13.87
52,wewak,75,PG,1557526358,88,-3.55,143.63,77.27,4.56
53,vanavara,99,RU,1557526359,84,60.35,102.28,28.31,4.45
54,sobolevo,100,RU,1557526359,91,54.43,31.9,51.35,2.82
55,hofn,100,IS,1557526359,82,64.25,-15.21,22.01,11.63
56,airai,51,TL,1557526360,74,-8.93,125.41,72.95,6.51
57,talnakh,75,RU,1557523800,100,69.49,88.39,24.8,11.18
58,umm lajj,0,SA,1557526360,62,25.02,37.27,77.09,10.51
59,shache,100,CN,1557526226,79,38.42,77.24,75.99,7.67
60,jamestown,3,AU,1557526321,79,-33.21,138.6,45.95,3.24
61,kieta,39,PG,1557526361,74,-6.22,155.63,82.85,10.94
62,lavrentiya,95,RU,1557526362,97,65.58,-170.99,30.29,9.06
63,quang ngai,100,VN,1557526206,96,15.12,108.8,73.13,2.1
64,kurdzhinovo,23,RU,1557526362,85,43.99,40.96,37.49,6.2
65,bethel,90,US,1557525180,81,60.79,-161.76,50.0,10.29
66,ponta do sol,88,BR,1557526363,92,-20.63,-46.0,67.19,2.98
67,saskylakh,96,RU,1557526364,93,71.97,114.09,16.79,2.55
68,aykhal,0,RU,1557522000,67,65.95,111.51,23.0,6.71
69,nizwa,7,OM,1557526364,30,22.93,57.53,83.21,6.08
70,forestville,90,CA,1557522000,75,48.74,-69.09,46.4,16.11
71,muncie,90,US,1557526325,66,40.19,-85.39,55.0,9.17
72,eidsvag,100,NO,1557523200,93,62.78,8.07,41.0,16.11
73,gualaquiza,88,EC,1557526366,46,-3.4,-78.58,69.71,6.51
74,hasaki,75,JP,1557526172,88,35.73,140.83,62.6,1.12
75,cariati,0,IT,1557525976,82,39.5,16.95,57.2,2.24
76,padang,58,ID,1557526367,71,-0.92,100.36,82.67,7.05
77,chokurdakh,92,RU,1557526368,92,70.62,147.9,16.43,4.43
78,dikson,88,RU,1557526368,94,73.51,80.55,25.43,4.18
79,moyale,92,ET,1557526368,86,3.52,39.05,70.25,5.44
80,xining,3,CN,1557526369,53,36.62,101.77,36.23,5.3
81,nicoya,40,CR,1557525617,94,10.15,-85.45,77.0,11.41
82,college,75,US,1557526219,25,64.86,-147.8,66.2,8.05
83,anadyr,90,RU,1557525798,63,64.73,177.51,30.2,4.47
84,belle fourche,40,US,1557526210,26,44.67,-103.85,61.0,11.41
85,beloha,49,MG,1557526370,88,-25.17,45.06,69.35,2.53
86,halifax,90,CA,1557525966,93,44.65,-63.58,44.01,9.17
87,east london,0,ZA,1557526371,58,-33.02,27.91,58.01,4.59
88,gigmoto,86,PH,1557526371,77,13.78,124.39,83.03,3.2
89,pedernales,43,EC,1557526372,82,0.07,-80.05,79.07,10.94
90,raudeberg,75,NO,1557526202,93,61.99,5.14,44.6,20.8
91,klaksvik,100,FO,1557525000,63,62.23,-6.59,37.4,4.7
92,georgetown,40,GY,1557522000,79,6.8,-58.16,84.2,11.41
93,vaksdal,20,NO,1557526227,81,60.48,5.74,44.01,24.16
94,sitka,100,US,1557525630,79,37.17,-99.65,51.01,1.01
95,hastings,20,NZ,1557526309,79,-39.64,176.84,56.75,3.06
96,husavik,60,CA,1557526267,13,50.56,-96.99,62.01,8.99
97,faya,0,SA,1557522000,55,18.39,42.45,64.4,3.71
98,burns lake,64,CA,1557526093,28,54.23,-125.76,73.13,4.61
99,norman wells,75,CA,1557522000,43,65.28,-126.83,51.8,16.11
100,bathsheba,40,BB,1557522000,78,13.22,-59.52,82.4,21.92
101,butaritari,99,KI,1557526377,78,3.07,172.79,83.75,16.11
102,taltal,0,CL,1557526377,65,-25.41,-70.49,62.69,6.06
103,victoria,75,BN,1557523800,88,5.28,115.24,82.4,5.7
104,atar,0,MR,1557526378,4,20.52,-13.05,96.17,4.03
105,cayenne,75,GF,1557523800,78,4.94,-52.33,82.4,5.82
106,lappeenranta,75,FI,1557526357,93,61.06,28.19,55.4,2.24
107,tuktoyaktuk,90,CA,1557524460,92,69.44,-133.03,21.2,12.75
108,bereda,20,ES,1557526211,87,43.27,-7.54,55.0,3.4
109,ancud,90,CL,1557522000,93,-41.87,-73.83,51.8,19.46
110,san patricio,100,PY,1557526380,98,-26.98,-56.83,71.69,7.96
111,carnarvon,0,ZA,1557526380,30,-30.97,22.13,58.37,5.84
112,mnogovershinnyy,83,RU,1557526381,76,53.94,139.92,35.69,2.19
113,zhob,6,PK,1557526381,24,31.34,69.45,68.27,2.71
114,port alfred,0,ZA,1557526322,69,-33.59,26.89,64.99,1.01
115,emerald,10,AU,1557526018,66,-23.53,148.16,55.0,8.05
116,waitati,100,NZ,1557526128,84,-45.75,170.57,57.0,8.99
117,mataura,100,NZ,1557526205,96,-46.19,168.86,54.0,4.85
118,isla vista,90,US,1557526305,77,34.41,-119.86,68.0,4.45
119,viana,3,ES,1557526337,72,42.52,-2.37,62.6,11.41
120,biak,98,ID,1557526383,99,-0.91,122.88,66.11,1.97
121,natal,0,BR,1557525600,78,-5.81,-35.21,80.6,8.05
122,dingle,57,PH,1557526384,82,11.0,122.67,77.99,1.59
123,alabaster,90,US,1557526085,65,33.24,-86.82,79.0,5.12
124,lompoc,90,US,1557526305,82,34.64,-120.46,68.0,6.93
125,mandalgovi,100,MN,1557526385,80,45.76,106.27,27.95,23.85
126,barrow,100,AR,1557526385,87,-38.31,-60.23,55.67,15.68
127,tarauaca,100,BR,1557526385,48,-8.16,-70.77,92.93,1.9
128,constitucion,5,MX,1557526215,8,23.99,-104.67,80.6,18.34
129,nadym,0,RU,1557526386,92,65.53,72.51,27.41,15.28
130,andalan,95,PH,1557526387,83,5.96,121.39,80.51,1.01
131,corning,40,US,1557526332,64,42.14,-77.05,71.6,13.87
132,phangnga,20,TH,1557523800,83,8.45,98.53,82.4,4.7
133,hobro,0,DK,1557526375,80,56.64,9.79,44.01,6.93
134,anori,100,BR,1557526388,94,-3.74,-61.66,80.51,3.15
135,montelibano,79,CO,1557526388,65,7.98,-75.42,88.25,10.49
136,saldanha,0,PT,1557526389,76,41.42,-6.55,53.87,5.32
137,jiayuguan,0,CN,1557526389,26,39.77,98.29,54.41,8.48
138,sao filipe,0,CV,1557526389,80,14.9,-24.5,73.67,19.53
139,lebu,20,ET,1557522000,33,8.96,38.73,62.6,11.41
140,prince rupert,90,CA,1557523020,87,54.32,-130.32,50.0,8.05
141,tilichiki,85,RU,1557526390,37,60.47,166.1,40.73,9.1
142,bluff,2,AU,1557526391,39,-23.58,149.07,55.31,20.29
